E1, E2, i, s, E1--s, E2--i, p, time
30, 50, 2000, 0, 0, 0, 0, 500
30, 50, 1999, 1, 0, 0, 0, 1000
30, 50, 1999, 1, 0, 0, 0, 1500
30, 50, 1999, 1, 0, 0, 0, 2000
30, 50, 1999, 1, 0, 0, 0, 2500
30, 50, 1999, 1, 0, 0, 0, 3000
30, 50, 1999, 1, 0, 0, 0, 3500
30, 50, 1999, 1, 0, 0, 0, 4000
30, 50, 1999, 1, 0, 0, 0, 4500
30, 50, 1999, 1, 0, 0, 0, 5000
30, 50, 1999, 1, 0, 0, 0, 5500
30, 50, 1999, 1, 0, 0, 0, 6000
30, 50, 1999, 1, 0, 0, 0, 6500
30, 50, 1999, 1, 0, 0, 0, 7000
30, 50, 1999, 1, 0, 0, 0, 7500
30, 50, 1999, 1, 0, 0, 0, 8000
30, 50, 1999, 1, 0, 0, 0, 8500
30, 50, 1999, 1, 0, 0, 0, 9000
30, 50, 1999, 1, 0, 0, 0, 9500
30, 50, 1999, 1, 0, 0, 0, 10000
30, 50, 1999, 1, 0, 0, 0, 10500
30, 50, 1999, 1, 0, 0, 0, 11000
30, 50, 1999, 1, 0, 0, 0, 11500
30, 50, 1999, 1, 0, 0, 0, 12000
30, 50, 1999, 1, 0, 0, 0, 12500
30, 50, 1999, 1, 0, 0, 0, 13000
30, 50, 1999, 1, 0, 0, 0, 13500
30, 50, 1999, 1, 0, 0, 0, 14000
30, 50, 1999, 1, 0, 0, 0, 14500
30, 50, 1999, 1, 0, 0, 0, 15000
30, 50, 1999, 1, 0, 0, 0, 15500
30, 50, 1999, 1, 0, 0, 0, 16000
30, 50, 1999, 1, 0, 0, 0, 16500
30, 50, 1999, 1, 0, 0, 0, 17000
30, 50, 1999, 1, 0, 0, 0, 17500
30, 50, 1999, 1, 0, 0, 0, 18000
30, 50, 1999, 1, 0, 0, 0, 18500
30, 50, 1999, 1, 0, 0, 0, 19000
30, 50, 1999, 1, 0, 0, 0, 19500
30, 50, 1999, 1, 0, 0, 0, 20000
30, 50, 1999, 1, 0, 0, 0, 20500
30, 50, 1999, 1, 0, 0, 0, 21000
30, 50, 1999, 1, 0, 0, 0, 21500
30, 50, 1999, 1, 0, 0, 0, 22000
30, 50, 1999, 1, 0, 0, 0, 22500
30, 50, 1999, 1, 0, 0, 0, 23000
30, 50, 1999, 1, 0, 0, 0, 23500
30, 50, 1999, 1, 0, 0, 0, 24000
30, 50, 1999, 1, 0, 0, 0, 24500
30, 50, 1999, 1, 0, 0, 0, 25000
30, 50, 1999, 1, 0, 0, 0, 25500
30, 50, 1999, 1, 0, 0, 0, 26000
30, 50, 1999, 1, 0, 0, 0, 26500
30, 50, 1999, 1, 0, 0, 0, 27000
30, 50, 1999, 1, 0, 0, 0, 27500
30, 50, 1999, 1, 0, 0, 0, 28000
30, 50, 1999, 1, 0, 0, 0, 28500
30, 50, 1999, 1, 0, 0, 0, 29000
30, 50, 1999, 1, 0, 0, 0, 29500
30, 50, 1999, 1, 0, 0, 0, 30000
30, 50, 1999, 1, 0, 0, 0, 30500
30, 50, 1999, 1, 0, 0, 0, 31000
30, 50, 1999, 1, 0, 0, 0, 31500
30, 50, 1999, 1, 0, 0, 0, 32000
30, 50, 1999, 1, 0, 0, 0, 32500
30, 50, 1999, 1, 0, 0, 0, 33000
30, 50, 1999, 1, 0, 0, 0, 33500
30, 50, 1999, 1, 0, 0, 0, 34000
30, 50, 1999, 1, 0, 0, 0, 34500
30, 50, 1999, 1, 0, 0, 0, 35000
30, 50, 1999, 1, 0, 0, 0, 35500
30, 50, 1999, 1, 0, 0, 0, 36000
30, 50, 1999, 1, 0, 0, 0, 36500
30, 50, 1999, 1, 0, 0, 0, 37000
30, 50, 1999, 1, 0, 0, 0, 37500
30, 50, 1999, 1, 0, 0, 0, 38000
30, 50, 1999, 1, 0, 0, 0, 38500
30, 50, 1999, 1, 0, 0, 0, 39000
30, 50, 1999, 1, 0, 0, 0, 39500
30, 50, 1999, 1, 0, 0, 0, 40000
30, 50, 1999, 1, 0, 0, 0, 40500
30, 50, 1998, 2, 0, 0, 0, 41000
30, 50, 1998, 2, 0, 0, 0, 41500
