E1, E2, i, s, E1--s, E2--i, p
50, 50, 2000, 0, 0, 0, 1000
50, 50, 2000, 0, 0, 0, 2000
50, 50, 1998, 2, 0, 0, 3000
50, 50, 1998, 2, 0, 0, 4000
50, 50, 1998, 2, 0, 0, 5000
50, 50, 1998, 2, 0, 0, 6000
50, 50, 1998, 2, 0, 0, 7000
50, 50, 1998, 2, 0, 0, 8000
50, 50, 1998, 2, 0, 0, 9000
50, 50, 1998, 2, 0, 0, 10000
50, 50, 1998, 2, 0, 0, 11000
50, 50, 1998, 2, 0, 0, 12000
50, 50, 1998, 2, 0, 0, 13000
50, 50, 1998, 2, 0, 0, 14000
50, 50, 1998, 2, 0, 0, 15000
50, 50, 1998, 2, 0, 0, 16000
50, 50, 1998, 2, 0, 0, 17000
50, 50, 1998, 2, 0, 0, 18000
50, 50, 1998, 2, 0, 0, 19000
50, 50, 1998, 2, 0, 0, 20000
50, 50, 1998, 2, 0, 0, 21000
50, 50, 1998, 2, 0, 0, 22000
50, 50, 1998, 2, 0, 0, 23000
50, 50, 1998, 2, 0, 0, 24000
50, 50, 1998, 2, 0, 0, 25000
50, 50, 1997, 3, 0, 0, 26000
50, 50, 1997, 3, 0, 0, 27000
50, 50, 1997, 3, 0, 0, 28000
50, 50, 1997, 3, 0, 0, 29000
50, 50, 1997, 3, 0, 0, 30000
50, 50, 1997, 3, 0, 0, 31000
50, 50, 1997, 3, 0, 0, 32000
50, 50, 1997, 3, 0, 0, 33000
50, 50, 1997, 3, 0, 0, 34000
50, 50, 1997, 3, 0, 0, 35000
50, 50, 1997, 3, 0, 0, 36000
50, 50, 1997, 3, 0, 0, 37000
50, 50, 1997, 3, 0, 0, 38000
50, 50, 1997, 3, 0, 0, 39000
50, 50, 1996, 4, 0, 0, 40000
50, 50, 1996, 4, 0, 0, 41000
50, 50, 1996, 4, 0, 0, 42000
50, 50, 1996, 4, 0, 0, 43000
50, 50, 1996, 4, 0, 0, 44000
50, 50, 1996, 4, 0, 0, 45000
50, 50, 1996, 4, 0, 0, 46000
50, 50, 1996, 4, 0, 0, 47000
50, 50, 1996, 4, 0, 0, 48000
50, 50, 1996, 4, 0, 0, 49000
50, 50, 1996, 4, 0, 0, 50000
50, 50, 1996, 4, 0, 0, 51000
50, 50, 1996, 4, 0, 0, 52000
50, 50, 1996, 4, 0, 0, 53000
50, 50, 1996, 4, 0, 0, 54000
50, 50, 1996, 4, 0, 0, 55000
50, 50, 1996, 4, 0, 0, 56000
50, 50, 1996, 4, 0, 0, 57000
50, 50, 1996, 4, 0, 0, 58000
50, 50, 1996, 4, 0, 0, 59000
