E1, s, i, E1--s, E2, p, E2--i, time
30, 2000, 0, 0, 50, 0, 0,0
29, 1999, 0, 1, 50, 0, 0,604.5212
29, 1998, 1, 1, 50, 0, 0,12051.48
27, 1996, 1, 3, 50, 0, 0,16798.262
29, 1997, 2, 1, 50, 0, 0,24753.855
27, 1995, 2, 3, 50, 0, 0,31908.54
29, 1996, 3, 1, 50, 0, 0,42501.54
29, 1995, 4, 1, 50, 0, 0,46099.785
29, 1995, 4, 1, 50, 0, 0,49725.273
29, 1995, 4, 1, 50, 0, 0,56946.543
29, 1993, 6, 1, 50, 0, 0,63704.258
29, 1993, 6, 1, 50, 0, 0,80511.43
29, 1993, 6, 1, 50, 0, 0,83692.875
29, 1993, 6, 1, 50, 0, 0,92975.16
29, 1993, 6, 1, 50, 0, 0,97662.48
29, 1992, 7, 1, 50, 0, 0,111867.59
29, 1992, 7, 1, 50, 0, 0,118609.19
29, 1991, 8, 1, 50, 0, 0,124034.195
29, 1989, 10, 1, 50, 0, 0,133985.58
29, 1988, 11, 1, 50, 0, 0,141312.39
29, 1988, 11, 1, 50, 0, 0,151430.11
29, 1988, 11, 1, 50, 0, 0,161383.25
29, 1987, 12, 1, 50, 0, 0,169044.3
29, 1985, 14, 1, 50, 0, 0,174264.27
29, 1983, 16, 1, 50, 0, 0,186472.7
29, 1983, 16, 1, 50, 0, 0,193296.25
27, 1981, 16, 3, 50, 0, 0,200059.05
29, 1982, 17, 1, 50, 0, 0,213609.45
29, 1981, 18, 1, 50, 0, 0,221538.56
29, 1981, 18, 1, 50, 0, 0,231661.52
29, 1980, 19, 1, 50, 0, 0,236076.02
29, 1980, 19, 1, 50, 0, 0,249799.78
29, 1980, 19, 1, 50, 0, 0,273707.34
29, 1978, 21, 1, 50, 0, 0,287942.06
29, 1978, 21, 1, 50, 0, 0,297083.2
29, 1978, 21, 1, 50, 0, 0,302065.6
29, 1977, 22, 1, 50, 0, 0,324886.03
29, 1977, 22, 1, 50, 0, 0,332479.2
29, 1976, 23, 1, 50, 0, 0,346929.7
29, 1975, 24, 1, 50, 0, 0,360718.8
29, 1975, 24, 1, 50, 0, 0,380167.22
29, 1974, 25, 1, 50, 0, 0,385881.84
29, 1973, 25, 1, 50, 1, 0,400509.03
29, 1972, 26, 1, 50, 1, 0,409017.97
29, 1970, 28, 1, 50, 1, 0,420447.88
29, 1969, 29, 1, 50, 1, 0,435745.7
29, 1967, 31, 1, 50, 1, 0,450670.13
29, 1966, 32, 1, 50, 1, 0,462412.1
29, 1966, 32, 1, 50, 1, 0,478600.16
29, 1966, 32, 1, 50, 1, 0,485049.1
29, 1965, 33, 1, 50, 1, 0,497213.28
27, 1963, 33, 3, 50, 1, 0,514014.7
29, 1965, 33, 1, 50, 1, 0,522473.1
29, 1965, 33, 1, 50, 1, 0,532153.8
29, 1963, 35, 1, 50, 1, 0,556106
29, 1963, 35, 1, 50, 1, 0,566615.06
29, 1962, 36, 1, 50, 1, 0,576060.9
29, 1961, 37, 1, 50, 1, 0,588710.9
30, 1962, 36, 0, 49, 1, 1,597552
29, 1961, 37, 1, 50, 1, 0,604771.8
29, 1961, 37, 1, 50, 1, 0,621647.7
29, 1959, 39, 1, 50, 1, 0,632400.5
29, 1959, 39, 1, 50, 1, 0,646970.56
29, 1959, 39, 1, 50, 1, 0,656844.9
29, 1959, 39, 1, 50, 1, 0,665468.8
27, 1957, 39, 3, 50, 1, 0,678107.9
29, 1958, 40, 1, 50, 1, 0,685510.8
29, 1958, 40, 1, 50, 1, 0,695567.5
29, 1957, 41, 1, 50, 1, 0,716929.06
29, 1956, 42, 1, 50, 1, 0,724483.25
29, 1956, 42, 1, 50, 1, 0,733844.7
29, 1955, 43, 1, 50, 1, 0,746691.56
29, 1955, 43, 1, 50, 1, 0,761488.25
29, 1954, 44, 1, 50, 1, 0,767775.3
29, 1954, 44, 1, 50, 1, 0,784254.8
27, 1951, 45, 3, 50, 1, 0,788669.56
30, 1954, 44, 0, 49, 1, 1,795197.4
29, 1953, 45, 1, 50, 1, 0,809042.8
29, 1952, 46, 1, 50, 1, 0,820710.4
29, 1951, 47, 1, 50, 1, 0,828839.94
29, 1951, 47, 1, 50, 1, 0,837582.4
29, 1951, 47, 1, 50, 1, 0,845435.6
29, 1951, 47, 1, 50, 1, 0,851122.56
29, 1950, 48, 1, 50, 1, 0,861354
29, 1949, 49, 1, 50, 1, 0,876189.1
29, 1949, 49, 1, 50, 1, 0,908329.9
29, 1949, 49, 1, 50, 1, 0,915781.1
29, 1948, 50, 1, 50, 1, 0,921904.56
29, 1946, 52, 1, 50, 1, 0,942740.5
29, 1946, 52, 1, 50, 1, 0,947613.1
29, 1945, 53, 1, 50, 1, 0,957896.1
29, 1944, 54, 1, 50, 1, 0,960733.75
29, 1943, 55, 1, 50, 1, 0,970733.1
29, 1943, 55, 1, 50, 1, 0,978138.94
29, 1943, 55, 1, 50, 1, 0,986073.56
29, 1943, 55, 1, 50, 1, 0,993551.44
29, 1943, 55, 1, 50, 1, 0,1004457.06
29, 1943, 55, 1, 50, 1, 0,1021400.4
