time,s,E1,i,E1---s,E2---i,p,E2
46608.594,1999,29,0,1,0,0,50
168291.77,1997,30,3,0,0,0,50
452922.38,1994,29,5,1,0,0,50
542257.44,1992,30,8,0,0,0,50
783672.06,1989,29,10,1,0,0,50
1004798.1,1987,30,13,0,0,0,50
1595058.1,1984,29,15,1,0,0,50
1896028.6,1983,30,17,0,0,0,50
1997025.6,1980,29,19,1,0,0,50
2098335.3,1978,30,22,0,0,0,50
2459599.8,1975,29,24,1,0,0,50
2635165.5,1973,30,27,0,0,0,50
3334142.5,1970,29,29,1,0,0,50
3570573.3,1969,30,31,0,0,0,50
3603299,1967,29,31,1,0,1,50
3642686.3,1965,30,34,0,0,1,50
3729039.3,1962,29,36,1,0,1,50
4045590,1961,30,38,0,0,1,50
4294159.5,1958,29,40,1,0,1,50
4404084,1956,30,43,0,0,1,50
4510790.5,1954,30,44,0,1,1,49
4732778,1953,30,45,0,0,2,50
4851625,1950,29,47,1,0,2,50
5105358.5,1948,30,50,0,0,2,50
5349537.5,1945,29,52,1,0,2,50
5624183,1944,30,54,0,0,2,50
5807883,1941,29,56,1,0,2,50
5930747.5,1939,30,59,0,0,2,50
6422948,1936,29,61,1,0,2,50
6436595,1934,30,64,0,0,2,50
6648754,1931,29,66,1,0,2,50
6768603,1931,30,67,0,0,2,50
6962731.5,1928,29,69,1,0,2,50
7129528.5,1927,30,71,0,0,2,50
7560669.5,1924,29,73,1,0,2,50
7587207,1922,30,76,0,0,2,50
7948971.5,1919,29,78,1,0,2,50
8279290,1917,30,81,0,0,2,50
8526866,1914,29,83,1,0,2,50
8706658,1912,30,86,0,0,2,50
8982254,1910,29,86,1,0,3,50
9133742,1910,30,87,0,0,3,50
9370320,1907,29,89,1,0,3,50
9756321,1906,30,91,0,0,3,50
9928817,1903,29,93,1,0,3,50
10095640,1902,30,94,0,0,4,50
10231035,1900,29,94,1,0,5,50
10334408,1899,30,95,0,0,6,50
10700840,1896,29,97,1,0,6,50
11069765,1894,30,100,0,0,6,50
11148538,1892,29,101,1,0,6,50
11317278,1890,30,104,0,0,6,50
11466535,1887,29,106,1,0,6,50
11598357,1886,30,108,0,0,6,50
11895717,1883,29,110,1,0,6,50
12053395,1882,30,112,0,0,6,50
12090900,1879,29,114,1,0,6,50
12110575,1877,30,117,0,0,6,50
12336256,1875,29,118,1,0,6,50
12723767,1873,30,121,0,0,6,50
13084372,1870,29,123,1,0,6,50
13182616,1868,30,126,0,0,6,50
13252382,1866,29,127,1,0,6,50
13396081,1864,30,130,0,0,6,50
13650930,1862,29,131,1,0,6,50
13770384,1862,30,131,0,0,7,50
13985621,1859,29,133,1,0,7,50
14131426,1857,30,136,0,0,7,50
14291433,1854,29,138,1,0,7,50
14329966,1853,30,139,0,0,8,50
14490097,1850,29,141,1,0,8,50
14604151,1848,30,144,0,0,8,50
14780509,1845,29,146,1,0,8,50
14870085,1845,30,147,0,0,8,50
14964787,1844,30,146,0,1,9,49
15156149,1842,30,148,0,0,10,50
15442753,1839,29,150,1,0,10,50
15580178,1838,30,152,0,0,10,50
15922788,1835,29,154,1,0,10,50
16142786,1833,30,157,0,0,10,50
16287837,1830,29,159,1,0,10,50
16321622,1828,30,162,0,0,10,50
16524341,1826,29,163,1,0,10,50
16796122,1824,30,166,0,0,10,50
16991760,1822,30,167,0,1,10,49
17023566,1821,30,167,0,0,12,50
17278766,1818,29,169,1,0,12,50
17332322,1817,30,170,0,0,13,50
17601326,1815,29,171,1,0,13,50
17829608,1813,30,174,0,0,13,50
18152054,1810,29,176,1,0,13,50
18293634,1808,30,179,0,0,13,50
18816580,1805,29,181,1,0,13,50
18841554,1803,30,184,0,0,13,50
19179138,1802,29,183,1,0,14,50
19501370,1801,30,185,0,0,14,50
19867844,1799,30,186,0,1,14,49
19875256,1798,30,187,0,0,15,50
20131084,1796,29,188,1,0,15,50
20350754,1794,30,191,0,0,15,50
20589150,1791,29,193,1,0,15,50
20637902,1789,30,196,0,0,15,50
20924086,1786,29,198,1,0,15,50
21014486,1784,30,201,0,0,15,50
21307572,1781,29,203,1,0,15,50
21476988,1781,30,204,0,0,15,50
21700034,1778,29,206,1,0,15,50
21924714,1777,30,208,0,0,15,50
21958840,1774,29,210,1,0,15,50
22109064,1772,30,213,0,0,15,50
22251956,1769,29,215,1,0,15,50
22312460,1768,30,216,0,0,16,50
22594830,1766,29,216,1,0,17,50
22813018,1764,30,219,0,0,17,50
22938684,1763,30,218,0,1,18,49
23060550,1762,30,219,0,0,19,50
23293724,1760,29,219,1,0,20,50
23443972,1758,30,222,0,0,20,50
23621250,1755,29,224,1,0,20,50
23674420,1753,30,227,0,0,20,50
23854564,1750,29,229,1,0,20,50
24002156,1748,30,232,0,0,20,50
24318516,1746,29,232,1,0,21,50
24419398,1746,30,232,0,0,22,50
24871922,1743,29,234,1,0,22,50
25085884,1742,30,235,0,0,23,50
25199078,1740,30,236,0,1,23,49
25264212,1738,30,238,0,0,24,50
25483258,1735,29,240,1,0,24,50
25563086,1733,30,243,0,0,24,50
25883556,1730,29,245,1,0,24,50
26139454,1729,30,247,0,0,24,50
26381454,1727,29,248,1,0,24,50
26437806,1727,30,248,0,0,25,50
26772778,1725,29,249,1,0,25,50
26927060,1723,30,252,0,0,25,50
26988118,1720,29,254,1,0,25,50
27280922,1718,30,257,0,0,25,50
27419616,1717,30,257,0,1,25,49
27491926,1715,30,259,0,0,26,50
27844654,1712,29,261,1,0,26,50
28063662,1711,30,263,0,0,26,50
28569576,1709,30,264,0,1,26,49
28694034,1707,30,266,0,0,27,50
29114904,1704,29,268,1,0,27,50
29159390,1704,30,267,0,0,29,50
29478000,1701,29,269,1,0,29,50
29666816,1701,30,269,0,0,30,50
30062108,1699,29,270,1,0,30,50
30405304,1697,30,273,0,0,30,50
30700790,1695,29,273,1,0,31,50
31035202,1695,30,273,0,0,32,50
31297424,1692,29,275,1,0,32,50
31379048,1691,30,276,0,0,33,50
31611792,1688,29,278,1,0,33,50
31852784,1686,30,281,0,0,33,50
31962782,1683,29,283,1,0,33,50
32084124,1681,30,286,0,0,33,50
32372196,1679,29,287,1,0,33,50
32447242,1677,30,290,0,0,33,50
32831082,1675,29,291,1,0,33,50
32925238,1673,30,294,0,0,33,50
33108808,1672,30,293,0,1,34,49
33230876,1670,30,295,0,0,35,50
33546470,1667,29,297,1,0,35,50
33690384,1665,30,300,0,0,35,50
33920240,1664,30,299,0,1,36,49
34036960,1664,30,297,0,0,39,50
34476748,1661,29,299,1,0,39,50
34996720,1660,30,301,0,0,39,50
35302372,1658,30,302,0,1,39,49
35348012,1656,30,304,0,0,40,50
35602172,1654,29,304,1,0,41,50
35611060,1652,30,307,0,0,41,50
36187852,1650,29,307,1,0,42,50
36251210,1649,30,308,0,0,43,50
36568348,1648,30,307,0,1,44,49
36699416,1648,30,307,0,0,45,50
36829730,1646,29,307,1,0,46,50
36938610,1644,30,310,0,0,46,50
37222350,1641,29,312,1,0,46,50
37284748,1641,30,312,0,0,47,50
37609490,1638,29,314,1,0,47,50
37659256,1636,30,317,0,0,47,50
37925228,1634,29,317,1,0,48,50
38058052,1632,30,320,0,0,48,50
38262860,1630,29,320,1,0,49,50
38305304,1628,30,323,0,0,49,50
38475700,1625,29,325,1,0,49,50
38526764,1623,30,328,0,0,49,50
38750628,1621,29,328,1,0,50,50
39321804,1619,30,331,0,0,50,50
39556500,1617,29,332,1,0,50,50
39573500,1615,30,335,0,0,50,50
39635920,1613,29,335,1,0,51,50
39652420,1611,30,338,0,0,51,50
39973240,1610,29,336,1,0,53,50
40349890,1608,30,339,0,0,53,50
40814440,1606,29,339,1,0,54,50
40914428,1605,30,341,0,0,54,50
41156724,1603,29,342,1,0,54,50
41227532,1602,30,344,0,0,54,50
41277604,1599,29,346,1,0,54,50
41339150,1597,30,349,0,0,54,50
41622156,1595,29,350,1,0,54,50
41747812,1593,30,353,0,0,54,50
41881724,1590,29,355,1,0,54,50
41975244,1590,30,354,0,0,56,50
42153870,1588,29,354,1,0,57,50
42295460,1587,30,355,0,0,58,50
42400890,1585,29,356,1,0,58,50
42769096,1583,30,359,0,0,58,50
42966310,1581,29,359,1,0,59,50
43145250,1580,30,361,0,0,59,50
43273652,1577,29,363,1,0,59,50
43314510,1576,30,364,0,0,60,50
43634500,1574,29,364,1,0,61,50
43895348,1572,30,367,0,0,61,50
44067384,1571,30,367,0,1,61,49
44155936,1569,30,369,0,0,62,50
44205370,1567,29,369,1,0,63,50
44276772,1566,30,370,0,0,64,50
44624844,1563,29,372,1,0,64,50
44638612,1561,30,375,0,0,64,50
44706330,1558,29,377,1,0,64,50
44775204,1557,30,379,0,0,64,50
44826892,1555,29,379,1,0,65,50
44888896,1554,30,380,0,0,66,50
45187964,1551,29,382,1,0,66,50
45352884,1550,30,383,0,0,67,50
45407896,1548,29,384,1,0,67,50
45446480,1548,30,384,0,0,68,50
45865016,1547,29,382,1,0,70,50
46047410,1546,30,383,0,0,71,50
46237736,1543,29,385,1,0,71,50
46432656,1542,30,386,0,0,72,50
46557696,1539,29,388,1,0,72,50
46694788,1537,30,391,0,0,72,50
46806784,1537,30,389,0,1,73,49
47038970,1536,30,389,0,0,75,50
47360596,1535,30,389,0,1,75,49
47810550,1534,30,389,0,0,77,50
47864412,1532,30,390,0,1,77,49
48367184,1530,30,392,0,0,78,50
48639950,1528,29,392,1,0,79,50
48749640,1526,30,395,0,0,79,50
48889372,1523,29,397,1,0,79,50
48940930,1524,30,396,0,0,80,50
49122336,1523,30,395,0,1,81,49
49672100,1522,30,395,0,0,83,50
49845028,1520,30,396,0,1,83,49
50198010,1518,30,398,0,0,84,50
50584490,1515,29,400,1,0,84,50
50602684,1514,30,402,0,0,84,50
50794532,1513,30,401,0,1,85,49
50967176,1511,30,403,0,0,86,50
51119240,1509,29,403,1,0,87,50
51310950,1507,30,406,0,0,87,50
51698684,1505,30,407,0,1,87,49
51830852,1503,30,409,0,0,88,50
52025916,1502,30,409,0,1,88,49
52118132,1500,30,411,0,0,89,50
52441790,1498,29,412,1,0,89,50
52489576,1497,30,414,0,0,89,50
52745150,1495,29,414,1,0,90,50
52820852,1495,30,413,0,0,92,50
53278350,1492,29,415,1,0,92,50
53353456,1490,30,418,0,0,92,50
53485520,1488,29,419,1,0,92,50
53641930,1487,30,420,0,0,93,50
53731224,1485,29,421,1,0,93,50
53744650,1484,30,422,0,0,94,50
54071540,1482,30,423,0,1,94,49
54237844,1480,30,425,0,0,95,50
54384452,1478,29,425,1,0,96,50
54433070,1476,30,428,0,0,96,50
54672896,1475,30,428,0,1,96,49
54835924,1473,30,430,0,0,97,50
54915190,1473,30,427,0,1,99,49
55174916,1471,30,429,0,0,100,50
55404020,1470,29,427,1,0,102,50
55450604,1469,30,428,0,0,103,50
55721596,1468,30,427,0,1,104,49
55902540,1467,30,427,0,0,106,50
56206270,1465,29,427,1,0,107,50
56371940,1465,30,426,0,0,109,50
56527040,1463,29,426,1,0,110,50
56624172,1462,30,427,0,0,111,50
56910468,1459,29,429,1,0,111,50
57059250,1458,30,430,0,0,112,50
57285972,1455,29,432,1,0,112,50
57423496,1453,30,435,0,0,112,50
57773824,1450,29,437,1,0,112,50
57787296,1449,30,438,0,0,113,50
57943132,1446,29,440,1,0,113,50
58060652,1444,30,443,0,0,113,50
58288496,1442,30,444,0,1,113,49
58320390,1442,30,442,0,0,116,50
58522364,1439,29,444,1,0,116,50
58610116,1439,30,443,0,0,118,50
58683756,1436,29,445,1,0,118,50
58797612,1435,30,447,0,0,118,50
58909492,1432,29,449,1,0,118,50
59098564,1430,30,452,0,0,118,50
59178400,1429,29,451,1,0,119,50
