E1, s, i, E1--s, E2, p, E2--i, time
30, 2000, 0, 0, 50, 0, 0,0
29, 1999, 0, 1, 50, 0, 0,0.00014992789
28, 1998, 0, 2, 50, 0, 0,0.000543749
27, 1997, 0, 3, 50, 0, 0,0.00086306676
26, 1996, 0, 4, 50, 0, 0,0.0013019457
25, 1995, 0, 5, 50, 0, 0,0.0013869727
24, 1994, 0, 6, 50, 0, 0,0.0033542435
23, 1993, 0, 7, 50, 0, 0,0.0034992197
22, 1992, 0, 8, 50, 0, 0,0.0066486243
21, 1991, 0, 9, 50, 0, 0,0.009099652
20, 1990, 0, 10, 50, 0, 0,0.009741049
19, 1989, 0, 11, 50, 0, 0,0.011085073
18, 1988, 0, 12, 50, 0, 0,0.011990475
17, 1987, 0, 13, 50, 0, 0,0.012522644
16, 1986, 0, 14, 50, 0, 0,0.01740632
15, 1985, 0, 15, 50, 0, 0,0.017586904
14, 1984, 0, 16, 50, 0, 0,0.017804276
13, 1983, 0, 17, 50, 0, 0,0.019297354
12, 1982, 0, 18, 50, 0, 0,0.024625763
11, 1981, 0, 19, 50, 0, 0,0.025324754
10, 1980, 0, 20, 50, 0, 0,0.02815947
9, 1979, 0, 21, 50, 0, 0,0.02821097
8, 1978, 0, 22, 50, 0, 0,0.031343054
7, 1977, 0, 23, 50, 0, 0,0.033564348
6, 1976, 0, 24, 50, 0, 0,0.03800238
5, 1975, 0, 25, 50, 0, 0,0.044643477
4, 1974, 0, 26, 50, 0, 0,0.046947584
3, 1973, 0, 27, 50, 0, 0,0.048013065
2, 1972, 0, 28, 50, 0, 0,0.051146537
1, 1971, 0, 29, 50, 0, 0,0.054096162
0, 1970, 0, 30, 50, 0, 0,0.06398844
1, 1970, 1, 29, 50, 0, 0,134.3692
0, 1969, 1, 30, 50, 0, 0,134.393
0, 1969, 0, 30, 49, 0, 1,134.699
1, 1969, 1, 29, 49, 0, 1,151.10225
0, 1968, 1, 30, 49, 0, 1,151.13123
0, 1968, 0, 30, 48, 0, 2,151.86307
1, 1968, 1, 29, 48, 0, 2,176.6405
0, 1967, 1, 30, 48, 0, 2,176.65887
0, 1967, 0, 30, 47, 0, 3,178.92844
0, 1967, 0, 30, 48, 1, 2,198.9671
1, 1967, 1, 29, 48, 1, 2,208.05515
0, 1966, 1, 30, 48, 1, 2,208.07452
0, 1966, 0, 30, 47, 1, 3,209.12126
1, 1966, 1, 29, 47, 1, 3,420.33508
0, 1965, 1, 30, 47, 1, 3,420.34955
0, 1965, 0, 30, 46, 1, 4,421.35684
1, 1965, 1, 29, 46, 1, 4,522.7261
0, 1964, 1, 30, 46, 1, 4,522.73663
0, 1964, 0, 30, 45, 1, 5,525.3327
0, 1964, 0, 30, 46, 2, 4,704.32574
1, 1964, 1, 29, 46, 2, 4,878.2483
0, 1963, 1, 30, 46, 2, 4,878.2775
0, 1963, 0, 30, 45, 2, 5,878.3434
1, 1963, 1, 29, 45, 2, 5,896.5927
0, 1962, 1, 30, 45, 2, 5,896.62726
0, 1962, 0, 30, 44, 2, 6,897.50946
1, 1962, 1, 29, 44, 2, 6,904.4226
0, 1961, 1, 30, 44, 2, 6,904.452
0, 1961, 0, 30, 43, 2, 7,905.68024
1, 1961, 1, 29, 43, 2, 7,944.72546
0, 1960, 1, 30, 43, 2, 7,944.7307
0, 1960, 0, 30, 42, 2, 8,944.8484
1, 1960, 1, 29, 42, 2, 8,961.2467
0, 1959, 1, 30, 42, 2, 8,961.26465
0, 1959, 0, 30, 41, 2, 9,961.4411
1, 1959, 1, 29, 41, 2, 9,1089.5656
0, 1958, 1, 30, 41, 2, 9,1089.5735
0, 1958, 0, 30, 40, 2, 10,1089.6644
0, 1958, 0, 30, 41, 3, 9,1110.2013
0, 1958, 0, 30, 42, 4, 8,1183.5157
1, 1958, 1, 29, 42, 4, 8,1377.6927
0, 1957, 1, 30, 42, 4, 8,1377.7408
1, 1957, 2, 29, 42, 4, 8,1378.0216
0, 1956, 2, 30, 42, 4, 8,1378.0684
0, 1956, 1, 30, 41, 4, 9,1378.1117
0, 1956, 0, 30, 40, 4, 10,1382.2512
1, 1956, 1, 29, 40, 4, 10,1514.428
0, 1955, 1, 30, 40, 4, 10,1514.4458
0, 1955, 0, 30, 39, 4, 11,1514.9342
0, 1955, 0, 30, 40, 5, 10,1579.716
1, 1955, 1, 29, 40, 5, 10,1645.324
0, 1954, 1, 30, 40, 5, 10,1645.3834
0, 1954, 0, 30, 39, 5, 11,1645.4161
1, 1954, 1, 29, 39, 5, 11,1727.1873
0, 1953, 1, 30, 39, 5, 11,1727.2367
0, 1953, 0, 30, 38, 5, 12,1730.2688
1, 1953, 1, 29, 38, 5, 12,1810.5756
0, 1952, 1, 30, 38, 5, 12,1810.5858
0, 1952, 0, 30, 37, 5, 13,1811.4213
1, 1952, 1, 29, 37, 5, 13,1910.1798
0, 1951, 1, 30, 37, 5, 13,1910.1821
0, 1951, 0, 30, 36, 5, 14,1913.8065
0, 1951, 0, 30, 37, 6, 13,1949.3872
1, 1951, 1, 29, 37, 6, 13,1959.5997
0, 1950, 1, 30, 37, 6, 13,1959.6088
0, 1950, 0, 30, 36, 6, 14,1959.9932
0, 1950, 0, 30, 37, 7, 13,2101.736
1, 1950, 1, 29, 37, 7, 13,2133.1396
0, 1949, 1, 30, 37, 7, 13,2133.1687
0, 1949, 0, 30, 36, 7, 14,2133.6152
1, 1949, 1, 29, 36, 7, 14,2259.8525
0, 1948, 1, 30, 36, 7, 14,2259.8665
0, 1948, 0, 30, 35, 7, 15,2261.0088
0, 1948, 0, 30, 36, 8, 14,2419.963
1, 1948, 1, 29, 36, 8, 14,2435.2651
0, 1947, 1, 30, 36, 8, 14,2435.2751
0, 1947, 0, 30, 35, 8, 15,2435.6887
1, 1947, 1, 29, 35, 8, 15,2544.066
0, 1946, 1, 30, 35, 8, 15,2544.0847
0, 1946, 0, 30, 34, 8, 16,2545.4438
0, 1946, 0, 30, 35, 9, 15,2721.2092
0, 1946, 0, 30, 36, 10, 14,2741.1255
1, 1946, 1, 29, 36, 10, 14,2948.0056
0, 1945, 1, 30, 36, 10, 14,2948.0176
0, 1945, 0, 30, 35, 10, 15,2949.338
1, 1945, 1, 29, 35, 10, 15,2949.5315
0, 1944, 1, 30, 35, 10, 15,2949.5842
0, 1944, 0, 30, 34, 10, 16,2950.4631
1, 1944, 1, 29, 34, 10, 16,2956.524
0, 1943, 1, 30, 34, 10, 16,2956.5354
0, 1943, 0, 30, 33, 10, 17,2959.3252
0, 1943, 0, 30, 34, 11, 16,3054.7612
1, 1943, 1, 29, 34, 11, 16,3122.1187
0, 1942, 1, 30, 34, 11, 16,3122.1675
0, 1942, 0, 30, 33, 11, 17,3124.837
1, 1942, 1, 29, 33, 11, 17,3200.3193
0, 1941, 1, 30, 33, 11, 17,3200.3247
0, 1941, 0, 30, 32, 11, 18,3201.4421
1, 1941, 1, 29, 32, 11, 18,3210.5227
0, 1940, 1, 30, 32, 11, 18,3210.5283
0, 1940, 0, 30, 31, 11, 19,3211.405
0, 1940, 0, 30, 32, 12, 18,3213.2095
1, 1940, 1, 29, 32, 12, 18,3244.4578
0, 1939, 1, 30, 32, 12, 18,3244.4585
0, 1939, 0, 30, 31, 12, 19,3249.0632
1, 1939, 1, 29, 31, 12, 19,3329.8489
0, 1938, 1, 30, 31, 12, 19,3329.88
0, 1938, 0, 30, 30, 12, 20,3329.9995
1, 1938, 1, 29, 30, 12, 20,3336.711
0, 1937, 1, 30, 30, 12, 20,3336.7542
0, 1937, 0, 30, 29, 12, 21,3337.146
0, 1937, 0, 30, 30, 13, 20,3413.292
0, 1937, 0, 30, 31, 14, 19,3441.8086
0, 1937, 0, 30, 32, 15, 18,3488.8765
0, 1937, 0, 30, 33, 16, 17,3535.8398
0, 1937, 0, 30, 34, 17, 16,3540.1912
1, 1937, 1, 29, 34, 17, 16,3560.5205
0, 1936, 1, 30, 34, 17, 16,3560.5571
0, 1936, 0, 30, 33, 17, 17,3561.0269
0, 1936, 0, 30, 34, 18, 16,3585.0813
0, 1936, 0, 30, 35, 19, 15,3649.4678
1, 1936, 1, 29, 35, 19, 15,3802.9854
0, 1935, 1, 30, 35, 19, 15,3803.0266
0, 1935, 0, 30, 34, 19, 16,3806.475
0, 1935, 0, 30, 35, 20, 15,3978.9138
